[2026-05-20 21:09:18] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 21:12:06] GET /admin/sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:12:11] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:13:15] GET /admin/logs → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:13:24] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:14:07] DELETE /admin/logout → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 21:14:08] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 21:15:55] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 21:16:13] POST /admin/login → REDIRECT (302) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:16:13] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:16:30] GET /admin/logs → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:16:44] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:16:51] GET /admin/sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:05] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:07] GET /admin/admins → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:28] POST /admin/admins → REDIRECT (302) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:28] GET /admin/admins → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:34] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:55] POST / → REDIRECT (302) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:17:55] GET / → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:18:02] GET /registro → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:18:18] GET / → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 21:18:25] POST / → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:18:26] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:18:32] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:18:35] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:18:36] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:18:45] GET /cuenta/balance → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:18:59] GET /cuenta/historial → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:19:19] POST /cuenta/devolver/sorteo_3/1002 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:19:20] GET /cuenta/historial → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:19:29] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:19:32] GET /cuenta/premios → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:19:44] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:19:51] GET /cuenta/historial → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:20:15] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:20:18] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 21:59:36] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 21:59:44] GET /registro → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:00:09] POST /registro → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:09] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:20] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:31] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:33] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:36] GET /cuenta/balance → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:38] GET /cuenta/historial → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:39] GET / → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:45] POST / → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:46] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:00:48] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:00] GET /pse → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:26] POST /pse/procesar → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:26] GET /pse/cargando → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:31] GET /pse/exito → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:39] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:45] GET / → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:51] GET /admin/sorteos → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:01:52] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:13] POST /admin/login → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:13] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:24] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:26] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:31] POST /sorteos/sorteo_3/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:31] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:36] DELETE /sorteos/sorteo_3/devolver/1001 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:36] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:38] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:39] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:41] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:42] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:44] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:45] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:48] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:50] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:51] POST /sorteos/sorteo_3/comprar-billete → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:52] GET /sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:55] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:58] GET /admin/sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:02:59] GET /admin/sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:12] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:13] GET /admin/logs → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:20] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:21] GET /admin/admins → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:25] DELETE /admin/admins/admin_1 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:25] GET /admin/admins → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:27] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:30] GET /admin/sorteos/nuevo → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:32] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:42] GET /admin/sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:46] POST /admin/sorteos/sorteo_3/ejecutar → REDIRECT (302) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:47] GET /admin/sorteos/sorteo_3 → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:53] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:03:55] GET /notificaciones → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:13] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:15] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:19] GET /cuenta/historial → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:23] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:26] GET /cuenta/premios → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:31] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:33] GET /cuenta/balance → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:04:38] GET /cuenta/premios → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:25:15] GET / → OK (200) | ip: 127.0.0.1 | usuario: 2
[2026-05-20 22:25:24] POST / → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:25:25] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:25:55] GET / → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:26:01] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:26:21] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:26:41] POST /admin/login → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:26:41] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:26:44] GET /admin/sorteos/nuevo → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:27:42] POST /admin/sorteos → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:27:42] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:27:43] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:27:45] GET /cuenta/balance → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:27:55] GET /cuenta/historial → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:08] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:10] GET /cuenta/premios → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:17] GET /perfil → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:18] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:22] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:29] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:35] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:37] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:42] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:52] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:28:52] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:29:32] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:29:33] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:29:35] GET / → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:31:08] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:31:13] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:32:18] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:01] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:08] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:10] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:14] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:16] GET /admin/sorteos/sorteo_1/premios/nuevo → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:23] POST /admin/sorteos/sorteo_1/premios → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:33:23] GET /admin/sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:35:11] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:35:12] DELETE /admin/logout → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:35:13] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:35:19] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:35:23] GET /admin/sorteos → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:35:24] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:35:35] POST /admin/login → REDIRECT (302) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 22:35:36] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 22:39:01] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 22:40:02] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 22:41:19] GET /admin/sorteos → OK (200) | ip: 127.0.0.1 | usuario: admin_default
[2026-05-20 22:41:23] DELETE /admin/logout → REDIRECT (302) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:41:24] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:41:34] GET /admin/login → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:42:02] GET / → OK (200) | ip: 127.0.0.1 | usuario: anónimo
[2026-05-20 22:42:07] POST / → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:07] GET /index → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:10] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:16] POST /sorteos/sorteo_1/comprar-fraccion → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:16] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:34] POST /sorteos/sorteo_1/devolver/1001 → REDIRECT (302) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:34] GET /sorteos/sorteo_1 → OK (200) | ip: 127.0.0.1 | usuario: 1
[2026-05-20 22:42:37] GET / → OK (200) | ip: 127.0.0.1 | usuario: 1
